,Unnamed: 0,Player,All_NBA,All.Star,Draft_Yr,Pk,Team,College,Yrs,Games,Minutes.Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes.per.Game,Points.per.Game,TRB.per.game,Assits.per.Game,Win.Share,WS_per_game,BPM,VORP,Executive,Tenure,Exec_ID,Exec_draft_exp,attend_college,first_year,second_year,third_year,fourth_year,fifth_year
546,547,Buck Williams,1,3,1981,3,NJN,University of Maryland,17,1307,42464,16784,13017,1646,0.5489999999999999,0.16699999999999998,0.664,32.5,12.8,10.0,1.3,120.1,0.136,1.2,34.8,Bob MacKinnon,777 days 00:00:00.000000000,16,2,1,0,0,0,0,0
568,569,Draymond Green,1,1,2012,35,GSW,Michigan State University,4,321,8156,2790,2085,1094,0.44,0.342,0.69,25.4,8.7,6.5,3.4,24.7,0.145,3.7,11.8,Bob Myers,1620 days 00:00:00.000000000,17,1,1,0,0,0,1,0
580,581,Dirk Nowitzki,12,13,1998,9,MIL,0,18,1340,47249,29491,10540,3414,0.474,0.381,0.879,35.3,22.0,7.9,2.5,198.8,0.20199999999999999,3.5,65.7,Bob Weinhauer,836 days 00:00:00.000000000,18,5,0,0,0,0,0,0
591,592,Scottie Pippen,7,7,1987,5,OKC,University of Central Arkansas,17,1178,41069,18940,7494,6135,0.473,0.326,0.7040000000000001,34.9,16.1,6.4,5.2,125.1,0.146,4.7,69.6,Bob Whitsitt,2947 days 00:00:00.000000000,19,2,1,0,0,0,0,0
600,601,Shawn Kemp,3,6,1989,17,OKC,Trinity Valley Community College,14,1051,29293,15347,8834,1704,0.488,0.27699999999999997,0.741,27.9,14.6,8.4,1.6,89.5,0.147,1.7,27.3,Bob Whitsitt,2947 days 00:00:00.000000000,19,4,1,0,0,0,0,0
602,603,Gary Payton,9,9,1990,2,OKC,Oregon State University,17,1335,47117,21813,5269,8966,0.466,0.317,0.7290000000000001,35.3,16.3,3.9,6.7,145.5,0.14800000000000002,3.3,63.0,Bob Whitsitt,2947 days 00:00:00.000000000,19,5,1,0,0,0,0,0
614,615,Jermaine O'Neal,3,6,1996,17,POR,0,18,1011,27364,13309,7261,1369,0.467,0.147,0.715,27.1,13.2,7.2,1.4,66.0,0.11599999999999999,0.0,13.9,Bob Whitsitt,3275 days 00:00:00.000000000,19,11,0,0,0,0,0,0
620,621,Zach Randolph,1,2,2001,19,POR,Michigan State University,15,984,31322,16693,9213,1800,0.473,0.26,0.765,31.8,17.0,9.4,1.8,76.4,0.11699999999999999,-0.3,13.5,Bob Whitsitt,3275 days 00:00:00.000000000,19,15,1,0,0,0,0,0
627,628,Allen Iverson,7,11,1996,1,PHI,Georgetown University,14,914,37584,24368,3394,5624,0.425,0.313,0.78,41.1,26.7,3.7,6.2,99.0,0.126,2.7,44.1,Brad Greenberg,347 days 00:00:00.000000000,20,1,1,0,0,0,0,0
638,639,Steve Nash,7,8,1996,15,PHO,Santa Clara University,18,1217,38069,17387,3642,10335,0.49,0.428,0.904,31.3,14.3,3.0,8.5,129.7,0.16399999999999998,1.3,31.2,Bryan Colangelo,4387 days 00:00:00.000000000,21,3,1,0,0,0,0,0
642,643,Shawn Marion,2,4,1999,9,PHO,"University of Nevada, Las Vegas",16,1163,40097,17700,10101,2198,0.484,0.331,0.81,34.5,15.2,8.7,1.9,124.9,0.15,3.2,52.1,Bryan Colangelo,4387 days 00:00:00.000000000,21,5,1,0,0,0,0,0
645,646,Amar'e Stoudemire,5,6,2002,9,PHO,0,14,846,26254,15994,6632,1050,0.537,0.23600000000000002,0.7609999999999999,31.0,18.9,7.8,1.2,92.5,0.16899999999999998,0.5,16.8,Bryan Colangelo,4387 days 00:00:00.000000000,21,8,0,0,0,0,0,0
677,678,Anthony Mason,1,1,1988,53,POR,Tennessee State University,13,882,30605,9656,7279,2963,0.509,0.16699999999999998,0.7090000000000001,34.7,10.9,8.3,3.4,88.3,0.138,2.1,31.7,Bucky Buckwalter,2388 days 00:00:00.000000000,22,3,1,0,0,0,0,0
783,784,Yao Ming,5,8,2002,1,HOU,0,8,486,15818,9247,4494,769,0.524,0.2,0.833,32.5,19.0,9.2,1.6,65.9,0.2,2.3,17.0,Carroll Dawson,3901 days 00:00:00.000000000,25,6,0,0,0,0,0,0
819,820,Kyrie Irving,1,3,2011,1,CLE,Duke University,5,309,10499,6416,1060,1696,0.452,0.37799999999999995,0.865,34.0,20.8,3.4,5.5,31.4,0.14400000000000002,3.0,13.3,Chris Grant,1343 days 00:00:00.000000000,28,1,1,0,0,0,0,1
842,843,Joe Johnson,1,7,2001,10,BOS,University of Arkansas,15,1143,41186,19318,4644,4774,0.442,0.37200000000000005,0.8009999999999999,36.0,16.9,4.1,4.2,78.1,0.091,0.5,26.2,Chris Wallace,851 days 00:00:00.000000000,30,1,1,0,0,0,0,0
847,848,Kevin Love,2,3,2008,5,MEM,"University of California, Los Angeles",8,516,16889,9451,5946,1252,0.444,0.363,0.815,32.7,18.3,11.5,2.4,64.2,0.182,3.2,22.1,Chris Wallace,1964 days 00:00:00.000000000,30,4,1,0,0,0,0,0
968,969,Patrick Ewing,7,11,1985,1,NYK,Georgetown University,17,1183,40594,24815,11607,2215,0.504,0.152,0.74,34.3,21.0,9.8,1.9,126.4,0.15,2.0,40.9,Dave DeBusschere,1324 days 00:00:00.000000000,36,4,1,0,0,0,0,0
979,980,Alonzo Mourning,2,7,1992,2,NOH,Georgetown University,15,838,25975,14311,7137,946,0.527,0.247,0.6920000000000001,31.0,17.1,8.5,1.1,89.7,0.166,1.7,24.0,Dave Twardzik,1387 days 00:00:00.000000000,38,1,1,0,0,0,0,0
1029,1030,Anthony Davis,1,3,2012,1,NOH,University of Kentucky,4,260,8823,5398,2518,433,0.516,0.281,0.78,33.9,20.8,9.7,1.7,37.7,0.205,4.2,13.8,Dell Demps,2263 days 00:00:00.000000000,44,2,1,0,0,0,1,0
1077,1078,Marques Johnson,3,5,1977,3,MIL,"University of California, Los Angeles",11,691,23694,13892,4817,2502,0.518,0.152,0.7390000000000001,34.3,20.1,7.0,3.6,79.8,0.162,3.6,33.6,Don Nelson,3694 days 00:00:00.000000000,49,1,1,0,0,0,0,0
1093,1094,Sidney Moncrief,5,5,1979,5,MIL,University of Arkansas,11,767,23150,11931,3575,2793,0.502,0.284,0.831,30.2,15.6,4.7,3.6,90.3,0.187,3.8,33.9,Don Nelson,3694 days 00:00:00.000000000,49,3,1,0,0,0,0,0
1160,1161,Mitch Richmond,5,6,1988,5,GSW,Kansas State University,14,976,34309,20497,3801,3398,0.455,0.38799999999999996,0.85,35.2,21.0,3.9,3.5,79.3,0.111,0.9,25.0,Don Nelson,2601 days 00:00:00.000000000,49,11,1,0,0,0,0,0
1162,1163,Tim Hardaway,5,5,1989,14,GSW,University of Texas at El Paso,13,867,30626,15373,2855,7095,0.431,0.355,0.782,35.3,17.7,3.3,8.2,85.0,0.133,2.5,34.6,Don Nelson,2601 days 00:00:00.000000000,49,12,1,0,0,0,0,0
